Vignette_ID,Category,Prompt,Model_Output,Model_Diagnoses,Ground_Truth_Label,Top_1_Accuracy,Top_2_Accuracy,Top_3_Accuracy
Mood Vignette 1A FINAL 2015 05 31,Mood,"[ROLE]
You are a psychiatrist conducting a diagnostic assessment.

[INSTRUCTIONS]
Thank you for participating in the Global Clinical Practice Network for the Development of ICD-11 Mental and Behavioural Disorders. The study that we are asking you to participate in today relates to the diagnosis of Mood Disorders.

You will be presented with a case vignette. The vignettes used in this study describe people who are experiencing some symptoms and are presenting for evaluation. The vignettes are based on real people encountered in real clinical settings. Try to think about these case descriptions as if they were patients or clients from your regular clinical practice.

You will then be asked to select the most, second-most, and third-most appropriate diagnostic conclusion for the person in the vignette. You may select one of the Mood Disorders or other diagnoses presented to you, no diagnosis, or a diagnosis that you feel best describes the person in the vignette but is not one of the choices available.

First, translate the vignette into English, then select the most appropriate diagnoses.

[PATIENT CASE]
Referral:  КФ – 38-летний инженер-конструктор, обратившийся в районный центр психического здоровья. Он жалуется на трудности в засыпании, которые он испытывает в последние две недели и которые мешают ему сосредоточиться на работе.
Presenting Symptoms:  На консультации КФ выглядит уставшим, но в целом опрятным. По его словам, в последние две недели он каждую ночь просыпается посреди ночи, после чего ему трудно снова заснуть. В итоге он весь день чувствует себя измотанным, и ему чрезвычайно трудно сконцентрироваться на том, что входит в его обязанности. Поскольку в его работе так важно внимание к деталям, он боится совершить ошибку, которая может привести к серьезным проблемам при строительстве моста, который он проектирует. КФ жалуется на беспокойство и напряжение, которые он испытывает на рабочем месте, снова и снова обдумывая, не допустил ли он в чем-либо ошибку, а также на общую встревоженность, причины которой он не понимает. По словам пациента, по возвращении домой ему трудно расслабиться, и весь вечер его беспокоит расстройство желудка. Обычно после работы ему нравилось смотреть телевизор или играть в компьютерные игры, но в последнее время ему не хватает на это сил – или, скорее, эти привычные занятия уже не доставляют такой радости, как раньше. У его жены растет недовольство, т.к. он перестал выполнять свою часть обязанностей по дому, жалуясь на усталость. Со слезами на глазах он делится своим ощущением, что его рабочая и личная жизнь разваливается. За последнюю неделю он не сдал вовремя два задания, хотя начальник дал ему отсрочку, чтобы тот успел все завершить. Растущие проблемы навели КФ на мысль, что ему нужна помощь, что и привело его на консультацию.
Additional Background Information:  КФ  живет в счастливом браке 15 лет. До сих пор он всегда демонстрировал высокие результаты в работе. Ранее у него не было психических расстройств, и, по его словам, он никогда прежде не испытывал таких ощущений, как теперь.   КФ  утверждает, что не употребляет алкоголь или наркотические вещества. В ходе медицинских обследований, предшествовавших его обращению в центр психического здоровья, не было выявлено никаких нарушений, способных объяснить его нынешнее состояние.

Which of the following diagnostic conclusions best corresponds to the person described in the vignette at the present time?
- Single Episode Depressive Disorder
- Recurrent Depressive Disorder
- Dysthymic Disorder
- Mixed Depressive and Anxiety Disorder
- Bipolar Type I Disorder
- Bipolar Type II Disorder
- Cyclothymic Disorder
- Other Mood Disorder
- Generalized Anxiety Disorder
- Prolonged Grief Disorder
- Adjustment Disorder
- A different diagnosis not listed above
- No Diagnosis; symptoms and behaviours are within normal limits

[FORMAT]
Most Likely Diagnosis: [diagnosis]
Reasoning: [2-3 sentences]

Second Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

Third Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

**WARNING:** Any other output format is incorrect.","Most Likely Diagnosis: Mixed Depressive and Anxiety Disorder
Reasoning: The patient, КФ, presents with symptoms of both depression (difficulty sleeping, fatigue, loss of interest in previously enjoyed activities, and feelings of his life unraveling) and anxiety (worry, tension, and rumination about work-related mistakes), which have been ongoing for two weeks. These symptoms are causing significant distress and impairment in his occupational and personal life. The combination of depressive and anxiety symptoms suggests a Mixed Depressive and Anxiety Disorder.

Second Most Likely: Generalized Anxiety Disorder
Reasoning: КФ's symptoms of worry, tension, and rumination about work-related mistakes, as well as his physical symptoms like stomach upset, could also be indicative of Generalized Anxiety Disorder, although the presence of depressive symptoms makes Mixed Depressive and Anxiety Disorder a more comprehensive diagnosis.

Third Most Likely: Single Episode Depressive Disorder
Reasoning: While КФ's symptoms of depression, such as difficulty sleeping, fatigue, and loss of interest in activities, could suggest a Single Episode Depressive Disorder, the presence of significant anxiety symptoms and the relatively short duration of two weeks make this diagnosis less likely than Mixed Depressive and Anxiety Disorder.","['Mixed Depressive and Anxiety Disorder', 'Generalized Anxiety Disorder', 'Single Episode Depressive Disorder']",Single Episode Depressive Disorder,False,False,True
Mood Vignette 1B FINAL 2015 05 31,Mood,"[ROLE]
You are a psychiatrist conducting a diagnostic assessment.

[INSTRUCTIONS]
Thank you for participating in the Global Clinical Practice Network for the Development of ICD-11 Mental and Behavioural Disorders. The study that we are asking you to participate in today relates to the diagnosis of Mood Disorders.

You will be presented with a case vignette. The vignettes used in this study describe people who are experiencing some symptoms and are presenting for evaluation. The vignettes are based on real people encountered in real clinical settings. Try to think about these case descriptions as if they were patients or clients from your regular clinical practice.

You will then be asked to select the most, second-most, and third-most appropriate diagnostic conclusion for the person in the vignette. You may select one of the Mood Disorders or other diagnoses presented to you, no diagnosis, or a diagnosis that you feel best describes the person in the vignette but is not one of the choices available.

First, translate the vignette into English, then select the most appropriate diagnoses.

[PATIENT CASE]
Referral:  НС – 43-летняя школьная учительница, живущая с мужем, 19-летней дочерью и 14-летним сыном. На консультацию ее направил лечащий врач в связи с ее жалобами на сниженное настроение и неспособность работать.
Presenting Symptoms:  Во время беседы с пациенткой становится заметна сниженность   аффекта, ее тихий монотонный голос едва различим. По ее словам, проблемы начались 7 месяцев назад, когда она стала постоянно просыпаться в 4 утра после 5 часов сна и не могла вновь заснуть. Несмотря на то, что ей больше не спалось, у женщины не хватало энергии или желания готовить завтрак и собираться в школу. По словам НС, поначалу она осознавала, что «скатывается в очередную негативную фазу» и пыталась бороться со своим состоянием, но с течением времени это становилось все труднее. Все чаще по утрам она оставалась в постели, размышляя о своей работе в школе и о проблемах своей дочери. НС говорит, что в последние 7 месяцев днем и по вечерам силы отчасти возвращаются, и тогда ей удается сделать что-то по дому. Около двух месяцев назад пациентка начала пропускать утренние уроки и, в конце концов,  вообще перестала ходить на работу. По ее словам, ей ничего не хочется делать, поскольку «все это кажется каким-то бессмысленным». Раньше в свободное время НС ходила по магазинам, готовила и общалась с друзьями, но вот уже несколько недель избегает дружеских встреч: приносившие когда-то радость оживленные разговоры теперь лишь утомляют и даются с трудом. Раньше она испытывала приятное удовлетворение от приготовления нового блюда для семьи, а теперь говорит, что ничто в ее жизни не приносит ей никакой радости. Беседующий с пациенткой врач отмечает, что ее движения и речь необычно замедлены и словно даются ей с усилием. Отвечая на вопрос, типичен ли для нее такой темп разговора, она признается, что у нее такое ощущение, будто она пробирается через плотную глину. В сравнении с прошлым годом НС ест очень мало и потеряла 6,8 кг (15 фунтов) с тех пор, как появились нынешние симптомы. Женщина выражает опасения, что уже никогда не восстановится и не сможет больше работать. Она говорит, что чувствует себя виноватой, что стала бременем для других и что лучше умереть, чем дожить до таких плохих времен. Однако, по ее словам, сил не хватает даже на то, чтобы привести свои мысли в исполнение.
Additional Background Information:  За последние 15 лет у  НС  было три похожих эпизода, два из которых были спровоцированы обострениями расстройства пищевого поведения ее 19-летней дочери. Первые два эпизода полностью поддались лечению и прошли в течение двух месяцев, а последний, случившийся 2 года назад, продлился полгода. У пациентки никогда не наблюдалось периодов неадекватно приподнятого настроения, повышенной активности или самооценки. Медицинский осмотр не выявил нарушений, которые бы объясняли описанные симптомы. Никаких следов злоупотребления алкоголем или   ПАВ  не замечено.

Which of the following diagnostic conclusions best corresponds to the person described in the vignette at the present time?
- Single Episode Depressive Disorder
- Recurrent Depressive Disorder
- Dysthymic Disorder
- Mixed Depressive and Anxiety Disorder
- Bipolar Type I Disorder
- Bipolar Type II Disorder
- Cyclothymic Disorder
- Other Mood Disorder
- Generalized Anxiety Disorder
- Prolonged Grief Disorder
- Adjustment Disorder
- A different diagnosis not listed above
- No Diagnosis; symptoms and behaviours are within normal limits

[FORMAT]
Most Likely Diagnosis: [diagnosis]
Reasoning: [2-3 sentences]

Second Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

Third Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

**WARNING:** Any other output format is incorrect.","Most Likely Diagnosis: Recurrent Depressive Disorder
Reasoning: The patient's symptoms, such as decreased mood, loss of interest in activities, changes in sleep patterns, fatigue, and feelings of guilt and worthlessness, have been present for 7 months, and she has a history of similar episodes in the past. The patient's symptoms have also led to significant impairment in her social and occupational functioning, as evidenced by her inability to work and withdrawal from social activities. The duration and severity of her symptoms, as well as her history of previous episodes, support the diagnosis of Recurrent Depressive Disorder.

Second Most Likely: Single Episode Depressive Disorder
Reasoning: Although the patient has a history of previous episodes, the current episode could be considered a single episode if the previous episodes are not considered part of a larger pattern of recurrent depression. The patient's symptoms are consistent with a single episode of depression, and the diagnosis could be considered if the recurrent nature of her symptoms is not deemed significant.

Third Most Likely: Dysthymic Disorder
Reasoning: The patient's symptoms have been present for 7 months, and she has a history of similar episodes, which could suggest a dysthymic disorder, characterized by a long-term, low-grade depressive state. However, the severity of her current symptoms and the significant impairment in her functioning suggest that Recurrent Depressive Disorder is a more likely diagnosis.","['Recurrent Depressive Disorder', 'Single Episode Depressive Disorder', 'Dysthymic Disorder']",Recurrent Depressive Disorder,True,True,True
Mood Vignette 1C FINAL 2015 05 31,Mood,"[ROLE]
You are a psychiatrist conducting a diagnostic assessment.

[INSTRUCTIONS]
Thank you for participating in the Global Clinical Practice Network for the Development of ICD-11 Mental and Behavioural Disorders. The study that we are asking you to participate in today relates to the diagnosis of Mood Disorders.

You will be presented with a case vignette. The vignettes used in this study describe people who are experiencing some symptoms and are presenting for evaluation. The vignettes are based on real people encountered in real clinical settings. Try to think about these case descriptions as if they were patients or clients from your regular clinical practice.

You will then be asked to select the most, second-most, and third-most appropriate diagnostic conclusion for the person in the vignette. You may select one of the Mood Disorders or other diagnoses presented to you, no diagnosis, or a diagnosis that you feel best describes the person in the vignette but is not one of the choices available.

First, translate the vignette into English, then select the most appropriate diagnoses.

[PATIENT CASE]
Referral:  РВ, 39-летняя домохозяйка, обратилась в районную амбулаторную психиатрическую клинику с жалобами на сниженное настроение и апатию, которые она испытывала последние 3 месяца. На консультацию она пришла с мужем и 12-летним сыном.
Presenting Symptoms:  Симптомы начались около трех месяцев назад, когда РВ с небольшим отрывом проиграла на региональных политических выборах. Она баллотировалась в депутаты городского муниципального совета и всего на несколько голосов проиграла своему оппоненту. РВ обратила внимание, что в последующие недели ее настроение начало ухудшаться. По словам пациентки, с тех пор, как прошли выборы, она продолжает обдумывать свою предвыборную стратегию и пытается понять, могла ли она что-то сделать лучше. Значительную часть дня РВ проводит в мыслях о причинах своего поражения и к концу дня сильно устает. В течение ночи она часто просыпается, а наутро встает позже, чем обычно. По словам ее мужа, ему тяжело видеть жену такой расстроенной из-за выборов, ведь раньше она была так бодра и полна сил. Теперь же РВ перестала принимать участие в привычных занятиях, таких как встречи книжного клуба или религиозные собрания, в которых она раньше играла роль организатора. Ни один из ее прежних способов досуга больше не приносит ей радости, и она все забросила. Теперь РВ редко выходит из дома, что создало сложности для семьи, т.к. именно она раньше была главной ответственной за покупку продуктов и всего необходимого для хозяйства. По словам пациентки, хотя она целыми днями дома, она не чувствует в себе сил на выполнение хоть каких-то домашних обязанностей. Вместо этого она проводит время, сидя на диване, уставившись в стену и поедая нездоровую пищу. РВ начала полнеть, а вследствие этого ругать себя за недостаток силы воли. Недавно она стала обвинять себя за поражение в выборах, предполагая, что общество считает ее «неудачницей». Обсуждая проблему с семьей, пациентка чувствует себя еще менее уверенно, так что она стала избегать общения с близким, что создает напряжение в отношениях с мужем и сыном. Временами РВ теряет веру в будущее и начинает думать, что ее родным было бы легче, если бы ее не было в живых, чем иметь дело с ее болезнью. У нее была мысль выпить целую упаковку болеутоляющих таблеток за один раз, но она еще не успела осуществить свое намерение.
Additional Background Information:  РВ  пережила сходный эпизод меньшей тяжести 5 лет назад, когда она с семьей переехала в новый район. В результате лечения за 2 месяца наступило полное улучшение.  У пациентки никогда не наблюдалось периодов неадекватно приподнятого настроения, повышенной активности или завышенной самооценки. Медицинский осмотр не обнаружил нарушений, которые бы объясняли описанные симптомы. Признаков злоупотребления алкоголем или ПАВ  не выявлено.

Which of the following diagnostic conclusions best corresponds to the person described in the vignette at the present time?
- Single Episode Depressive Disorder
- Recurrent Depressive Disorder
- Dysthymic Disorder
- Mixed Depressive and Anxiety Disorder
- Bipolar Type I Disorder
- Bipolar Type II Disorder
- Cyclothymic Disorder
- Other Mood Disorder
- Generalized Anxiety Disorder
- Prolonged Grief Disorder
- Adjustment Disorder
- A different diagnosis not listed above
- No Diagnosis; symptoms and behaviours are within normal limits

[FORMAT]
Most Likely Diagnosis: [diagnosis]
Reasoning: [2-3 sentences]

Second Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

Third Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

**WARNING:** Any other output format is incorrect.","Most Likely Diagnosis: Single Episode Depressive Disorder
Reasoning: The patient's symptoms, including persistent feelings of sadness, loss of interest in previously enjoyed activities, changes in sleep patterns, and feelings of guilt and worthlessness, have been present for approximately 

Second Most Likely: Recurrent Depressive Disorder
Reasoning: The patient has a history of a similar episode 5 years ago, which suggests a possible pattern of recurrent depressive episodes, although the current episode is the most prominent.

Third Most Likely: Adjustment Disorder
Reasoning: The patient's symptoms seem to be triggered by a specific stressful event, namely the loss in the regional political elections, and her inability to cope with the aftermath, which could indicate an adjustment disorder, although the severity of her symptoms leans more towards a depressive disorder.","['Single Episode Depressive Disorder', 'Recurrent Depressive Disorder', 'Adjustment Disorder']",Recurrent Depressive Disorder,False,True,True
Mood Vignette 1D FINAL 2016 01 14,Mood,"[ROLE]
You are a psychiatrist conducting a diagnostic assessment.

[INSTRUCTIONS]
Thank you for participating in the Global Clinical Practice Network for the Development of ICD-11 Mental and Behavioural Disorders. The study that we are asking you to participate in today relates to the diagnosis of Mood Disorders.

You will be presented with a case vignette. The vignettes used in this study describe people who are experiencing some symptoms and are presenting for evaluation. The vignettes are based on real people encountered in real clinical settings. Try to think about these case descriptions as if they were patients or clients from your regular clinical practice.

You will then be asked to select the most, second-most, and third-most appropriate diagnostic conclusion for the person in the vignette. You may select one of the Mood Disorders or other diagnoses presented to you, no diagnosis, or a diagnosis that you feel best describes the person in the vignette but is not one of the choices available.

First, translate the vignette into English, then select the most appropriate diagnoses.

[PATIENT CASE]
Referral:  ИС, 36-летнюю женщину,  фармацевта по профессии, направил к психиатру ее гинеколог. Пятью неделями раньше она родила своего первого ребенка, и ее настроение начало ухудшаться. Консультация проходила в амбулаторной клинике.
Presenting Symptoms:  Во время консультации ИС тихо плачет. По словам пациентки, они с мужем очень ждали своего первенца, хоть беременность и не была  запланированной. Однако вскоре после его появления на свет женщина поймала себя на том, что в течение дня периодически начинает плакать, непонятно отчего. ИС думала, что общение с малышом будет доставлять ей радость, но вместо этого она чувствует глубокую печаль. Спустя несколько дней после рождения ребенка ей стало трудно засыпать, даже в перерывах между кормлением, которое происходит каждые 3-4 часа и на время которых муж приносит ей ребенка в постель. По словам пациентки, в результате она чувствует сильную слабость в течение дня. Когда муж на работе, ИС проводит большую часть дня в постели и поднимается только когда слышит плач ребенка. Когда она все-таки встает, ей трудно сосредоточиться на повседневных делах. Например, на прошлой неделе, меняя сыну подгузник, она вышла из комнаты выбросить использованный подгузник, а чистый надеть   ребенку  забыла и спохватилась лишь через 15 минут. Женщина больше не читает, не слушает музыку и не делает все то, что раньше ей нравилось, т.к. теперь это не приносит ей радости. Ее аппетит не изменился,   и съедает она столько  же, как обычно, но говорит, что ей уже не хватает сил и концентрации для того, чтобы готовить здоровую пищу, к  которой они с мужем привыкли. Муж пытается помочь, но по его словам, ему трудно нести весь груз забот  одному. ИС пессимистична в отношении   будущего и боится, что станет ужасной матерью. Она чувствует себя виноватой за свои ощущения, т.к. по ее мнению она должна переживать приятное волнение, но ничего не может с собой поделать. На вопрос о суицидальных намерениях пациентка отвечает, что у нее не было мыслей или побуждений причинить вред себе или ребенку. Гинеколог объяснил ей, что после родов иногда бывает подавленное настроение, но женщина обеспокоена, т.к. такое  состояние длится уже больше месяца.
Additional Background Information:  По словам пациентки, в течение жизни у нее преобладало устойчивое и хорошее настроение. В ее анамнезе отсутствуют эпизоды, сходные с нынешним, или какие-либо другие проблемы с психическим здоровьем. Сведений об употреблении наркотических средств нет.   ИС сообщает, что до беременности она обычно могла выпить бокал вина один-два раза в неделю, но забеременев, она прекратила употреблять алкоголь и не пьет его до сих пор, т.к. кормит ребенка грудью. По словам гинеколога, у пациентки не выявлено медицинских проблем, способных объяснить ее нынешние симптомы.

Which of the following diagnostic conclusions best corresponds to the person described in the vignette at the present time?
- Single Episode Depressive Disorder
- Recurrent Depressive Disorder
- Dysthymic Disorder
- Mixed Depressive and Anxiety Disorder
- Bipolar Type I Disorder
- Bipolar Type II Disorder
- Cyclothymic Disorder
- Other Mood Disorder
- Generalized Anxiety Disorder
- Prolonged Grief Disorder
- Adjustment Disorder
- A different diagnosis not listed above
- No Diagnosis; symptoms and behaviours are within normal limits

[FORMAT]
Most Likely Diagnosis: [diagnosis]
Reasoning: [2-3 sentences]

Second Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

Third Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

**WARNING:** Any other output format is incorrect.","Most Likely Diagnosis: Single Episode Depressive Disorder
Reasoning: The patient's symptoms, such as persistent feelings of sadness, loss of interest in activities, and changes in sleep patterns, have been present for over a month, which suggests a depressive episode. The patient's lack of previous episodes and the absence of other psychiatric problems in her anamnesis also support this diagnosis. The patient's symptoms seem to be triggered by the birth of her child, which is a significant life event.

Second Most Likely: Adjustment Disorder
Reasoning: The patient's symptoms have developed in response to a significant life event, the birth of her child, and she is experiencing distress and impairment in her daily life, which are characteristic of an adjustment disorder. However, the severity and duration of her symptoms may be more consistent with a depressive disorder.

Third Most Likely: Mixed Depressive and Anxiety Disorder
Reasoning: The patient's symptoms include not only depressive symptoms, such as sadness and loss of interest, but also anxiety symptoms, such as fear of being a bad mother and excessive worry about the future, which may suggest a mixed depressive and anxiety disorder. However, the patient's symptoms seem to be more predominantly depressive, and the anxiety symptoms may be secondary to the depressive symptoms.","['Single Episode Depressive Disorder', 'Adjustment Disorder', 'Mixed Depressive and Anxiety Disorder']",Recurrent Depressive Disorder,False,False,False
Mood Vignette 1E FINAL 2016 01 14,Mood,"[ROLE]
You are a psychiatrist conducting a diagnostic assessment.

[INSTRUCTIONS]
Thank you for participating in the Global Clinical Practice Network for the Development of ICD-11 Mental and Behavioural Disorders. The study that we are asking you to participate in today relates to the diagnosis of Mood Disorders.

You will be presented with a case vignette. The vignettes used in this study describe people who are experiencing some symptoms and are presenting for evaluation. The vignettes are based on real people encountered in real clinical settings. Try to think about these case descriptions as if they were patients or clients from your regular clinical practice.

You will then be asked to select the most, second-most, and third-most appropriate diagnostic conclusion for the person in the vignette. You may select one of the Mood Disorders or other diagnoses presented to you, no diagnosis, or a diagnosis that you feel best describes the person in the vignette but is not one of the choices available.

First, translate the vignette into English, then select the most appropriate diagnoses.

[PATIENT CASE]
Referral:  АЛ, 28-летняя женщина, преподаватель, обратилась на консультацию в связи с недавним супружеским конфликтом. 4 недели назад она родила ребенка, и сразу после родов у нее ухудшилось настроение. Результатом сниженного настроения стал конфликт с мужем, что и привело женщину на консультацию.
Presenting Symptoms:  На момент консультации АЛ чувствует себя «немного уставшей от постоянных пробуждений посреди ночи, но в остальном все нормально». Из роддома ее выписали в хорошем состоянии, после того, как она без осложнений естественным путем родила своего второго ребенка. Тем не менее, в последующие несколько дней АЛ чувствовала себя подавленно, особенно пока привыкала заботиться о двух детях сразу. Она была раздражительнее обычного, придираясь к мужу по мелочам. Кроме того, она уставала больше, чем после рождения первого ребенка. Пациентка говорит, что чувствовала себя изможденной и с трудом успевала заботиться о новорожденной дочери и пятилетнем сыне. Она просила мужа больше помогать с детьми, жалуясь, что ей не хватает его поддержки. Муж не придал ситуации большого значения и сказал, что она прекрасно со всем справляется. У них было несколько бурных ссор, после которых АЛ чувствовала себя недооцененной и непонятой. Однажды ночью муж услышал, как его жена плачет (она думала, что он спит). На следующий день он попросил тещу приехать пожить с ними, помочь по дому. Через неделю после приезда матери АЛ почувствовала себя лучше, как прежде. Ее настроение улучшилось, а сил прибавилось, несмотря на то, что для нее по-прежнему сложно заботиться о двух детях сразу. Женщина считает, что рождение второго ребенка выявило неразрешенные конфликты ее брака и что она хочет заняться их решением ради детей, пока проблемы не разрослись.
Additional Background Information:  По словам пациентки, 5 лет назад, после рождения первого ребенка, у нее не было таких трудностей, как сейчас. В анамнезе АЛ отсутствует упоминание о каких-либо серьезных психиатрических проблемах. О злоупотреблении алкоголем или употреблении наркотических средств сведений нет.

Which of the following diagnostic conclusions best corresponds to the person described in the vignette at the present time?
- Single Episode Depressive Disorder
- Recurrent Depressive Disorder
- Dysthymic Disorder
- Mixed Depressive and Anxiety Disorder
- Bipolar Type I Disorder
- Bipolar Type II Disorder
- Cyclothymic Disorder
- Other Mood Disorder
- Generalized Anxiety Disorder
- Prolonged Grief Disorder
- Adjustment Disorder
- A different diagnosis not listed above
- No Diagnosis; symptoms and behaviours are within normal limits

[FORMAT]
Most Likely Diagnosis: [diagnosis]
Reasoning: [2-3 sentences]

Second Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

Third Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

**WARNING:** Any other output format is incorrect.","Most Likely Diagnosis: Adjustment Disorder
Reasoning: The patient's symptoms, such as feeling overwhelmed, irritable, and tearful, are directly related to the recent life event of having a second child and the resulting marital conflict. The improvement in her mood and energy after her mother's help arrived suggests that her symptoms are a response to a specific stressor, which is consistent with an Adjustment Disorder.

Second Most Likely: Single Episode Depressive Disorder
Reasoning: The patient's symptoms, including feeling overwhelmed, irritable, and tearful, could also be indicative of a depressive episode, particularly given the significant life change of having a new baby and the resulting marital conflict.

Third Most Likely: Mixed Depressive and Anxiety Disorder
Reasoning: Although less likely, the patient's symptoms of feeling overwhelmed, irritable, and tearful, as well as her difficulty sleeping and increased fatigue, could also suggest a mixed depressive and anxiety disorder, particularly if her symptoms persist or worsen over time.","['Adjustment Disorder', 'Single Episode Depressive Disorder', 'Mixed Depressive and Anxiety Disorder']",No Diagnosis; symptoms and behaviours are within normal limits,False,False,False
Mood Vignette 1F FINAL 2015 05 31,Mood,"[ROLE]
You are a psychiatrist conducting a diagnostic assessment.

[INSTRUCTIONS]
Thank you for participating in the Global Clinical Practice Network for the Development of ICD-11 Mental and Behavioural Disorders. The study that we are asking you to participate in today relates to the diagnosis of Mood Disorders.

You will be presented with a case vignette. The vignettes used in this study describe people who are experiencing some symptoms and are presenting for evaluation. The vignettes are based on real people encountered in real clinical settings. Try to think about these case descriptions as if they were patients or clients from your regular clinical practice.

You will then be asked to select the most, second-most, and third-most appropriate diagnostic conclusion for the person in the vignette. You may select one of the Mood Disorders or other diagnoses presented to you, no diagnosis, or a diagnosis that you feel best describes the person in the vignette but is not one of the choices available.

First, translate the vignette into English, then select the most appropriate diagnoses.

[PATIENT CASE]
Referral:  Пациентке МЖ   42-года, она работает бухгалтером, живет с 15-летним сыном и 13-летней дочерью. Чуть больше года назад ее муж, с которым она была в браке 17 лет, умер от рака. Ее направили на консультацию, потому что в течение последнего месяца она стала чувствовать, что с ней что-то не так, и обеспокоена тем, что могут возникнуть проблемы с работой и она больше не сможет обеспечивать своих детей.
Presenting Symptoms:  После смерти мужа МЖ ушла в неоплачиваемый отпуск, потому что ей было трудно сконцентрироваться. В настоящее время женщина с облегчением вернулась к работе после того, как «замечательная группа поддержки»  помогла ей  пережить утрату. МЖ очень скучает по мужу, но теперь, по прошествии некоторого времени, чувствует, что смирилась со случившимся. По словам пациентки, для детей тоже было тяжело справиться с потерей отца, но сейчас у них все в порядке с учебой, они принимают участие в школьных спортивных мероприятиях и проводят время с друзьями.
  
 Около месяца назад МЖ получила сложное задание по работе, и в последние две недели ее стали одолевать сомнения. По словам пациентки, она недостаточно хорошо справляется с работой и вследствие этого мысль о том, что придется вставать  утром  каждый раз ужасает ее. Концентрация и целеустремленность, которые женщина утратила после смерти мужа и которые вернулись было снова, когда она справилась с горем, опять покидают ее, и ей трудно на чем-либо сосредоточиться. Она раздражается на своих детей-подростков, и лишь изредка что-то доставляет ей радость. Думая о своей жизни, МЖ приходит к выводу, что она – сплошное разочарование. Она вспоминает случаи, когда огорчала своего мужа, и все ошибки, совершенные на работе, и эти мысли особенно досаждают ей по ночам. В результате ей трудно уснуть. Пациентка осознает, что муж сказал бы ей, что она слишком много думает и прекрасно может справиться с новым заданием по работе. Однако осознание этого не уменьшает ее критического отношения к себе. Тем не менее, женщина старается делать свою работу максимально хорошо, несмотря на усталость,  и не получала  негативных замечаний  ни от начальства, ни от коллег.
Additional Background Information:  МЖ – старшая из четырех детей в семье. По ее словам, взаимоотношения родителей были конфликтными, они часто ссорились. Отец был жестким и требовательным и часто говорил, что из МЖ ничего не выйдет. У пациентки были близкие отношения с бабушкой по материнской линии, которая жила вместе с ними и утешала внучку, когда та была напугана или чувствовала безысходность. После смерти бабушки у МЖ случился депрессивный эпизод (на тот момент ей было 15 лет). Первые серьезные отношения у нее появились в 17 лет, когда она окончила школу и начала работать. Тогда МЖ впервые почувствовала себя по-настоящему счастливой: она сама зарабатывала деньги, и в ее жизни был значимый человек. Она поступила в местный  колледж и закончила его с дипломом бухгалтера, но вскоре после окончания ее парень расстался с ней, и она снова на несколько месяцев погрузилась в депрессию, не спала, утратила силы и всякий интерес к привычным делам, не могла ни на чем сосредоточиться. Ей прописали лекарство, которое, как казалось, неплохо помогало. С тех пор у нее не было других подобных  эпизодов. Пациентка говорит, что не употребляет ни алкоголь, ни наркотики. Медицинский осмотр не выявил никаких нарушений, способных объяснить описанные симптомы.

Which of the following diagnostic conclusions best corresponds to the person described in the vignette at the present time?
- Single Episode Depressive Disorder
- Recurrent Depressive Disorder
- Dysthymic Disorder
- Mixed Depressive and Anxiety Disorder
- Bipolar Type I Disorder
- Bipolar Type II Disorder
- Cyclothymic Disorder
- Other Mood Disorder
- Generalized Anxiety Disorder
- Prolonged Grief Disorder
- Adjustment Disorder
- A different diagnosis not listed above
- No Diagnosis; symptoms and behaviours are within normal limits

[FORMAT]
Most Likely Diagnosis: [diagnosis]
Reasoning: [2-3 sentences]

Second Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

Third Most Likely: [diagnosis]
Reasoning: [1-2 sentences]

**WARNING:** Any other output format is incorrect.","Most Likely Diagnosis: Adjustment Disorder
Reasoning: The patient's symptoms, such as feeling overwhelmed, difficulty concentrating, and increased self-criticism, seem to be triggered by a specific stressor, namely the complex task at work, and have been present for approximately two weeks. The patient's ability to function at work and her lack of negative feedback from supervisors or colleagues suggest that her symptoms are not severe enough to warrant a more severe diagnosis like Depressive Disorder. Additionally, the patient's history of coping with grief and her current symptoms being time-limited also support this diagnosis.

Second Most Likely: Single Episode Depressive Disorder
Reasoning: The patient's symptoms, such as difficulty concentrating, self-criticism, and sleep disturbances, could be indicative of a depressive episode, especially given her history of a previous depressive episode. However, the patient's ability to function at work and her lack of negative feedback from supervisors or colleagues make this diagnosis less likely than Adjustment Disorder.

Third Most Likely: Generalized Anxiety Disorder
Reasoning: The patient's excessive worry about her work performance, her fear of not being able to provide for her children, and her self-criticism could be indicative of generalized anxiety, but the time-limited nature of her symptoms and the presence of a specific stressor make this diagnosis less likely than the top two options.","['Adjustment Disorder', 'Single Episode Depressive Disorder', 'Generalized Anxiety Disorder']",Recurrent Depressive Disorder,False,False,False
