Vignette_ID,Category,Prompt,Model_Output,Model_Diagnoses,Ground_Truth_Label,Top_1_Accuracy,Top_2_Accuracy,Top_3_Accuracy
Mood Vignette 1A FINAL 2015 05 31,Mood,"[ROLE]
Благодарим Вас за участие в проекте Всемирной сети клинической практики (ВСКП) по разработке главы МКБ-11 Психические и поведенческие расстройства.  Исследование, в котором Вам предлагается участвовать сегодня, посвящено диагностике Аффективных расстройств.

Вам будет представлен клинический случай.  Клинические случаи, используемые в этом исследовании, описывают пациентов, у которых имеются  те или иные симптомы, требующие оценки.  Клинические описания составлены на основе реальных случаев. Старайтесь представить этих пациентов так, как будто Вы наблюдаете их в своей обычной клинической практике.

Затем Вас попросят выбрать наиболее подходящее, а также второе и третье по степени соответствия диагностические заключения для пациента,  представленного в   клиническом случае.  Вы можете выбрать   диагноз из раздела Аффективные расстройства либо  из других предложенных разделов, не ставить никакой диагноз или выбрать любой другой диагноз, не указанный в данном исследовании.

[PATIENT CASE]
Сведения из направления:  КФ – 38-летний инженер-конструктор, обратившийся в районный центр психического здоровья. Он жалуется на трудности в засыпании, которые он испытывает в последние две недели и которые мешают ему сосредоточиться на работе.
Симптомы на момент обследования:  На консультации КФ выглядит уставшим, но в целом опрятным. По его словам, в последние две недели он каждую ночь просыпается посреди ночи, после чего ему трудно снова заснуть. В итоге он весь день чувствует себя измотанным, и ему чрезвычайно трудно сконцентрироваться на том, что входит в его обязанности. Поскольку в его работе так важно внимание к деталям, он боится совершить ошибку, которая может привести к серьезным проблемам при строительстве моста, который он проектирует. КФ жалуется на беспокойство и напряжение, которые он испытывает на рабочем месте, снова и снова обдумывая, не допустил ли он в чем-либо ошибку, а также на общую встревоженность, причины которой он не понимает. По словам пациента, по возвращении домой ему трудно расслабиться, и весь вечер его беспокоит расстройство желудка. Обычно после работы ему нравилось смотреть телевизор или играть в компьютерные игры, но в последнее время ему не хватает на это сил – или, скорее, эти привычные занятия уже не доставляют такой радости, как раньше. У его жены растет недовольство, т.к. он перестал выполнять свою часть обязанностей по дому, жалуясь на усталость. Со слезами на глазах он делится своим ощущением, что его рабочая и личная жизнь разваливается. За последнюю неделю он не сдал вовремя два задания, хотя начальник дал ему отсрочку, чтобы тот успел все завершить. Растущие проблемы навели КФ на мысль, что ему нужна помощь, что и привело его на консультацию.
Дополнительные сведения:  КФ  живет в счастливом браке 15 лет. До сих пор он всегда демонстрировал высокие результаты в работе. Ранее у него не было психических расстройств, и, по его словам, он никогда прежде не испытывал таких ощущений, как теперь.   КФ  утверждает, что не употребляет алкоголь или наркотические вещества. В ходе медицинских обследований, предшествовавших его обращению в центр психического здоровья, не было выявлено никаких нарушений, способных объяснить его нынешнее состояние.

Какое из следующих диагностических заключений более всего подходит для пациента, описанного в данном клиническом случае, в настоящее время?
- Единичный эпизод депрессивного расстройства
- Рекуррентное депрессивное расстройство
- Дистимическое расстройство
- Смешанное депрессивное и тревожное расстройство
- Биполярное расстройство I типа
- Биполярное расстройство II типа 
- Циклотимическое расстройство 
- Другое аффективное расстройство 
- Генерализованное тревожное расстройство 
- Затяжная реакция горя
- Расстройство адаптации
- Другой диагноз, не перечисленный выше
- Нет диагноза; симптомы и поведение находятся в пределах нормы

[FORMAT]
Наиболее вероятный диагноз: [диагноз]
Обоснование: [2–3 предложения]

Второй по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

Третий по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

**ПРЕДУПРЕЖДЕНИЕ:** Любой другой формат вывода является некорректным.","Наиболее вероятный диагноз: Рекуррентное депрессивное расстройство.
Обоснование: Поведенческие и симптоматические признаки, такие как трудности в засыпании, изменение аппетита, беспокойство, напряжение, и чувство встревоженности, длительность симптомов более двух недель, а также отсутствие других объяснений для его текущего состояния, соответствуют критериям рекуррентного депрессивного расстройства.

Второй по вероятности диагноз: Дистимическое расстройство.
Обоснование: Отсутствие явных депрессивных симптомов, таких как тенистая настроеность или потеря интереса, но наличие симптомов, характерных для дистимии, таких как бессилие, беспомощность, и ощущение бесполезности, могут указывать на дистимическое расстройство.

Третий по вероятности диаагоз: Смешанное депрессивное и тревожное расстройство.
Обоснование: Наличие симптомов депрессии, таких как трудности в засыпании и изменение аппетита, а также симптомов тревожности, таких как беспокойство и напряжение, могут указывать на смешанное депрессивное и тревожное расстройство.","['NO_MATCH_FOUND', 'NO_MATCH_FOUND', 'NO_MATCH_FOUND']",Единичный эпизод депрессивного расстройства,False,False,False
Mood Vignette 1B FINAL 2015 05 31,Mood,"[ROLE]
Благодарим Вас за участие в проекте Всемирной сети клинической практики (ВСКП) по разработке главы МКБ-11 Психические и поведенческие расстройства.  Исследование, в котором Вам предлагается участвовать сегодня, посвящено диагностике Аффективных расстройств.

Вам будет представлен клинический случай.  Клинические случаи, используемые в этом исследовании, описывают пациентов, у которых имеются  те или иные симптомы, требующие оценки.  Клинические описания составлены на основе реальных случаев. Старайтесь представить этих пациентов так, как будто Вы наблюдаете их в своей обычной клинической практике.

Затем Вас попросят выбрать наиболее подходящее, а также второе и третье по степени соответствия диагностические заключения для пациента,  представленного в   клиническом случае.  Вы можете выбрать   диагноз из раздела Аффективные расстройства либо  из других предложенных разделов, не ставить никакой диагноз или выбрать любой другой диагноз, не указанный в данном исследовании.

[PATIENT CASE]
Сведения из направления:  НС – 43-летняя школьная учительница, живущая с мужем, 19-летней дочерью и 14-летним сыном. На консультацию ее направил лечащий врач в связи с ее жалобами на сниженное настроение и неспособность работать.
Симптомы на момент обследования:  Во время беседы с пациенткой становится заметна сниженность   аффекта, ее тихий монотонный голос едва различим. По ее словам, проблемы начались 7 месяцев назад, когда она стала постоянно просыпаться в 4 утра после 5 часов сна и не могла вновь заснуть. Несмотря на то, что ей больше не спалось, у женщины не хватало энергии или желания готовить завтрак и собираться в школу. По словам НС, поначалу она осознавала, что «скатывается в очередную негативную фазу» и пыталась бороться со своим состоянием, но с течением времени это становилось все труднее. Все чаще по утрам она оставалась в постели, размышляя о своей работе в школе и о проблемах своей дочери. НС говорит, что в последние 7 месяцев днем и по вечерам силы отчасти возвращаются, и тогда ей удается сделать что-то по дому. Около двух месяцев назад пациентка начала пропускать утренние уроки и, в конце концов,  вообще перестала ходить на работу. По ее словам, ей ничего не хочется делать, поскольку «все это кажется каким-то бессмысленным». Раньше в свободное время НС ходила по магазинам, готовила и общалась с друзьями, но вот уже несколько недель избегает дружеских встреч: приносившие когда-то радость оживленные разговоры теперь лишь утомляют и даются с трудом. Раньше она испытывала приятное удовлетворение от приготовления нового блюда для семьи, а теперь говорит, что ничто в ее жизни не приносит ей никакой радости. Беседующий с пациенткой врач отмечает, что ее движения и речь необычно замедлены и словно даются ей с усилием. Отвечая на вопрос, типичен ли для нее такой темп разговора, она признается, что у нее такое ощущение, будто она пробирается через плотную глину. В сравнении с прошлым годом НС ест очень мало и потеряла 6,8 кг (15 фунтов) с тех пор, как появились нынешние симптомы. Женщина выражает опасения, что уже никогда не восстановится и не сможет больше работать. Она говорит, что чувствует себя виноватой, что стала бременем для других и что лучше умереть, чем дожить до таких плохих времен. Однако, по ее словам, сил не хватает даже на то, чтобы привести свои мысли в исполнение.
Дополнительные сведения:  За последние 15 лет у  НС  было три похожих эпизода, два из которых были спровоцированы обострениями расстройства пищевого поведения ее 19-летней дочери. Первые два эпизода полностью поддались лечению и прошли в течение двух месяцев, а последний, случившийся 2 года назад, продлился полгода. У пациентки никогда не наблюдалось периодов неадекватно приподнятого настроения, повышенной активности или самооценки. Медицинский осмотр не выявил нарушений, которые бы объясняли описанные симптомы. Никаких следов злоупотребления алкоголем или   ПАВ  не замечено.

Какое из следующих диагностических заключений более всего подходит для пациента, описанного в данном клиническом случае, в настоящее время?
- Единичный эпизод депрессивного расстройства
- Рекуррентное депрессивное расстройство
- Дистимическое расстройство
- Смешанное депрессивное и тревожное расстройство
- Биполярное расстройство I типа
- Биполярное расстройство II типа 
- Циклотимическое расстройство 
- Другое аффективное расстройство 
- Генерализованное тревожное расстройство 
- Затяжная реакция горя
- Расстройство адаптации
- Другой диагноз, не перечисленный выше
- Нет диагноза; симптомы и поведение находятся в пределах нормы

[FORMAT]
Наиболее вероятный диагноз: [диагноз]
Обоснование: [2–3 предложения]

Второй по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

Третий по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

**ПРЕДУПРЕЖДЕНИЕ:** Любой другой формат вывода является некорректным.","Наиболее вероятный диагноз: Рекуррентное депрессивное расстройство
Обоснование: Пациентка описывает три эпизода депрессивных симптомов, каждый из которых полностью поддался лечению и продолжался от двух месяцев до полгода.

Второй по вероятности диагноз: Дистимическое расстройство
Обоснование: Пациентка сообщает о сниженном настроении, сниженной энергии и утрате интереса к обыденным делам, но без явных симптомов депрессии, таких как сниженная самооценка или психомоторная ретиardation.

Третий по вероятности диагноз: Смешанное депрессивное и тревожное расстройство
Обоснование: Пациентка сообщает о смешанных симптомах депрессии и тревоги, таких как сниженное настроение, сниженная энергия, сниженная самооценка и тревожность.

**ПРЕДУПРЕЖДЕНИЕ:** Пожалуйста, помните, что этот диагноз не является окончательным и всегда необходимо проводить полное медицинское обследование и консультироваться с квалифицированным медицинским лицом для получения точного диагноза.","['NO_MATCH_FOUND', 'NO_MATCH_FOUND', 'NO_MATCH_FOUND']",Рекуррентное депрессивное расстройство,False,False,False
Mood Vignette 1C FINAL 2015 05 31,Mood,"[ROLE]
Благодарим Вас за участие в проекте Всемирной сети клинической практики (ВСКП) по разработке главы МКБ-11 Психические и поведенческие расстройства.  Исследование, в котором Вам предлагается участвовать сегодня, посвящено диагностике Аффективных расстройств.

Вам будет представлен клинический случай.  Клинические случаи, используемые в этом исследовании, описывают пациентов, у которых имеются  те или иные симптомы, требующие оценки.  Клинические описания составлены на основе реальных случаев. Старайтесь представить этих пациентов так, как будто Вы наблюдаете их в своей обычной клинической практике.

Затем Вас попросят выбрать наиболее подходящее, а также второе и третье по степени соответствия диагностические заключения для пациента,  представленного в   клиническом случае.  Вы можете выбрать   диагноз из раздела Аффективные расстройства либо  из других предложенных разделов, не ставить никакой диагноз или выбрать любой другой диагноз, не указанный в данном исследовании.

[PATIENT CASE]
Сведения из направления:  РВ, 39-летняя домохозяйка, обратилась в районную амбулаторную психиатрическую клинику с жалобами на сниженное настроение и апатию, которые она испытывала последние 3 месяца. На консультацию она пришла с мужем и 12-летним сыном.
Симптомы на момент обследования:  Симптомы начались около трех месяцев назад, когда РВ с небольшим отрывом проиграла на региональных политических выборах. Она баллотировалась в депутаты городского муниципального совета и всего на несколько голосов проиграла своему оппоненту. РВ обратила внимание, что в последующие недели ее настроение начало ухудшаться. По словам пациентки, с тех пор, как прошли выборы, она продолжает обдумывать свою предвыборную стратегию и пытается понять, могла ли она что-то сделать лучше. Значительную часть дня РВ проводит в мыслях о причинах своего поражения и к концу дня сильно устает. В течение ночи она часто просыпается, а наутро встает позже, чем обычно. По словам ее мужа, ему тяжело видеть жену такой расстроенной из-за выборов, ведь раньше она была так бодра и полна сил. Теперь же РВ перестала принимать участие в привычных занятиях, таких как встречи книжного клуба или религиозные собрания, в которых она раньше играла роль организатора. Ни один из ее прежних способов досуга больше не приносит ей радости, и она все забросила. Теперь РВ редко выходит из дома, что создало сложности для семьи, т.к. именно она раньше была главной ответственной за покупку продуктов и всего необходимого для хозяйства. По словам пациентки, хотя она целыми днями дома, она не чувствует в себе сил на выполнение хоть каких-то домашних обязанностей. Вместо этого она проводит время, сидя на диване, уставившись в стену и поедая нездоровую пищу. РВ начала полнеть, а вследствие этого ругать себя за недостаток силы воли. Недавно она стала обвинять себя за поражение в выборах, предполагая, что общество считает ее «неудачницей». Обсуждая проблему с семьей, пациентка чувствует себя еще менее уверенно, так что она стала избегать общения с близким, что создает напряжение в отношениях с мужем и сыном. Временами РВ теряет веру в будущее и начинает думать, что ее родным было бы легче, если бы ее не было в живых, чем иметь дело с ее болезнью. У нее была мысль выпить целую упаковку болеутоляющих таблеток за один раз, но она еще не успела осуществить свое намерение.
Дополнительные сведения:  РВ  пережила сходный эпизод меньшей тяжести 5 лет назад, когда она с семьей переехала в новый район. В результате лечения за 2 месяца наступило полное улучшение.  У пациентки никогда не наблюдалось периодов неадекватно приподнятого настроения, повышенной активности или завышенной самооценки. Медицинский осмотр не обнаружил нарушений, которые бы объясняли описанные симптомы. Признаков злоупотребления алкоголем или ПАВ  не выявлено.

Какое из следующих диагностических заключений более всего подходит для пациента, описанного в данном клиническом случае, в настоящее время?
- Единичный эпизод депрессивного расстройства
- Рекуррентное депрессивное расстройство
- Дистимическое расстройство
- Смешанное депрессивное и тревожное расстройство
- Биполярное расстройство I типа
- Биполярное расстройство II типа 
- Циклотимическое расстройство 
- Другое аффективное расстройство 
- Генерализованное тревожное расстройство 
- Затяжная реакция горя
- Расстройство адаптации
- Другой диагноз, не перечисленный выше
- Нет диагноза; симптомы и поведение находятся в пределах нормы

[FORMAT]
Наиболее вероятный диагноз: [диагноз]
Обоснование: [2–3 предложения]

Второй по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

Третий по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

**ПРЕДУПРЕЖДЕНИЕ:** Любой другой формат вывода является некорректным.","Наиболее вероятный диагноз: Рекуррентное депрессивное расстройство.
Обоснование: Пациентка описывает симптомы депрессии, которые длились более трёх месяцев и происходили два раза в жизни.

Второй по вероятности диагноз: Дистимическое расстройство.
Обоснование: Пациентка сообщает о значительном ухудшении настроения и потере интереса к обычным занятиям, но отсутствие значительных изменений в аппетите и энергии.

Третий по вероятности диагноз: Единичный эпизод депрессивного расстройства.
Обоснование: Пациентка сообщает о симптомах депрессии, которые длились менее двух недель и происходили один раз в жизни.

**ПРЕДУПРЕЖДЕНИЕ:** Диагноз ""Нет диагноза; симптомы и поведение находятся в пределах нормы"" не соответствует данному клиническому случаю.","['NO_MATCH_FOUND', 'NO_MATCH_FOUND', 'NO_MATCH_FOUND']",Рекуррентное депрессивное расстройство,False,False,False
Mood Vignette 1D FINAL 2016 01 14,Mood,"[ROLE]
Благодарим Вас за участие в проекте Всемирной сети клинической практики (ВСКП) по разработке главы МКБ-11 Психические и поведенческие расстройства.  Исследование, в котором Вам предлагается участвовать сегодня, посвящено диагностике Аффективных расстройств.

Вам будет представлен клинический случай.  Клинические случаи, используемые в этом исследовании, описывают пациентов, у которых имеются  те или иные симптомы, требующие оценки.  Клинические описания составлены на основе реальных случаев. Старайтесь представить этих пациентов так, как будто Вы наблюдаете их в своей обычной клинической практике.

Затем Вас попросят выбрать наиболее подходящее, а также второе и третье по степени соответствия диагностические заключения для пациента,  представленного в   клиническом случае.  Вы можете выбрать   диагноз из раздела Аффективные расстройства либо  из других предложенных разделов, не ставить никакой диагноз или выбрать любой другой диагноз, не указанный в данном исследовании.

[PATIENT CASE]
Сведения из направления:  ИС, 36-летнюю женщину,  фармацевта по профессии, направил к психиатру ее гинеколог. Пятью неделями раньше она родила своего первого ребенка, и ее настроение начало ухудшаться. Консультация проходила в амбулаторной клинике.
Симптомы на момент обследования:  Во время консультации ИС тихо плачет. По словам пациентки, они с мужем очень ждали своего первенца, хоть беременность и не была  запланированной. Однако вскоре после его появления на свет женщина поймала себя на том, что в течение дня периодически начинает плакать, непонятно отчего. ИС думала, что общение с малышом будет доставлять ей радость, но вместо этого она чувствует глубокую печаль. Спустя несколько дней после рождения ребенка ей стало трудно засыпать, даже в перерывах между кормлением, которое происходит каждые 3-4 часа и на время которых муж приносит ей ребенка в постель. По словам пациентки, в результате она чувствует сильную слабость в течение дня. Когда муж на работе, ИС проводит большую часть дня в постели и поднимается только когда слышит плач ребенка. Когда она все-таки встает, ей трудно сосредоточиться на повседневных делах. Например, на прошлой неделе, меняя сыну подгузник, она вышла из комнаты выбросить использованный подгузник, а чистый надеть   ребенку  забыла и спохватилась лишь через 15 минут. Женщина больше не читает, не слушает музыку и не делает все то, что раньше ей нравилось, т.к. теперь это не приносит ей радости. Ее аппетит не изменился,   и съедает она столько  же, как обычно, но говорит, что ей уже не хватает сил и концентрации для того, чтобы готовить здоровую пищу, к  которой они с мужем привыкли. Муж пытается помочь, но по его словам, ему трудно нести весь груз забот  одному. ИС пессимистична в отношении   будущего и боится, что станет ужасной матерью. Она чувствует себя виноватой за свои ощущения, т.к. по ее мнению она должна переживать приятное волнение, но ничего не может с собой поделать. На вопрос о суицидальных намерениях пациентка отвечает, что у нее не было мыслей или побуждений причинить вред себе или ребенку. Гинеколог объяснил ей, что после родов иногда бывает подавленное настроение, но женщина обеспокоена, т.к. такое  состояние длится уже больше месяца.
Дополнительные сведения:  По словам пациентки, в течение жизни у нее преобладало устойчивое и хорошее настроение. В ее анамнезе отсутствуют эпизоды, сходные с нынешним, или какие-либо другие проблемы с психическим здоровьем. Сведений об употреблении наркотических средств нет.   ИС сообщает, что до беременности она обычно могла выпить бокал вина один-два раза в неделю, но забеременев, она прекратила употреблять алкоголь и не пьет его до сих пор, т.к. кормит ребенка грудью. По словам гинеколога, у пациентки не выявлено медицинских проблем, способных объяснить ее нынешние симптомы.

Какое из следующих диагностических заключений более всего подходит для пациента, описанного в данном клиническом случае, в настоящее время?
- Единичный эпизод депрессивного расстройства
- Рекуррентное депрессивное расстройство
- Дистимическое расстройство
- Смешанное депрессивное и тревожное расстройство
- Биполярное расстройство I типа
- Биполярное расстройство II типа 
- Циклотимическое расстройство 
- Другое аффективное расстройство 
- Генерализованное тревожное расстройство 
- Затяжная реакция горя
- Расстройство адаптации
- Другой диагноз, не перечисленный выше
- Нет диагноза; симптомы и поведение находятся в пределах нормы

[FORMAT]
Наиболее вероятный диагноз: [диагноз]
Обоснование: [2–3 предложения]

Второй по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

Третий по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

**ПРЕДУПРЕЖДЕНИЕ:** Любой другой формат вывода является некорректным.","Наиболее вероятный диагноз: Рекуррентное депрессивное расстройство.
Обоснование: Поведенческие и симптоматические признаки, такие как периодические изменения настроения, сниженная концентрация внимания, сниженная мотивация, сниженный аппетит и спать, а также отсутствие суицидальных намерений, соответствуют критериям рекуррентного депрессивного расстройства.

Второй по вероятности диагноз: Дистимическое расстройство.
Обоснование: Женщина сообщает о постоянном снижении настроения и отсутствии удовольствия от обыденных дел, что может указывать на дистимию.

Третий по вероятности диагноз: Единичный эпизод депрессивного расстройства.
Обоснование: Женщина сообщает, что симптомы начались пять недель после рождения ребенка, что может указывать на единичный эпизод депрессивного расстройства.

**ПРЕДУПРЕЖДЕНИЕ:** Другие диагнозы, такие как биполярное расстройство, смешанное депрессивно-тревожное расстройство, циклотимическое расстройство, затяжная реакция горя, расстройство адаптации и другие, не могут быть исключены с полной уверенностью, поскольку симптомы и поведение пациента могут соответствовать критериям этих диагнозов. Дополнительные сведения и контекст, такие как медицинская история паци","['NO_MATCH_FOUND', 'NO_MATCH_FOUND', 'NO_MATCH_FOUND']",Рекуррентное депрессивное расстройство,False,False,False
Mood Vignette 1E FINAL 2016 01 14,Mood,"[ROLE]
Благодарим Вас за участие в проекте Всемирной сети клинической практики (ВСКП) по разработке главы МКБ-11 Психические и поведенческие расстройства.  Исследование, в котором Вам предлагается участвовать сегодня, посвящено диагностике Аффективных расстройств.

Вам будет представлен клинический случай.  Клинические случаи, используемые в этом исследовании, описывают пациентов, у которых имеются  те или иные симптомы, требующие оценки.  Клинические описания составлены на основе реальных случаев. Старайтесь представить этих пациентов так, как будто Вы наблюдаете их в своей обычной клинической практике.

Затем Вас попросят выбрать наиболее подходящее, а также второе и третье по степени соответствия диагностические заключения для пациента,  представленного в   клиническом случае.  Вы можете выбрать   диагноз из раздела Аффективные расстройства либо  из других предложенных разделов, не ставить никакой диагноз или выбрать любой другой диагноз, не указанный в данном исследовании.

[PATIENT CASE]
Сведения из направления:  АЛ, 28-летняя женщина, преподаватель, обратилась на консультацию в связи с недавним супружеским конфликтом. 4 недели назад она родила ребенка, и сразу после родов у нее ухудшилось настроение. Результатом сниженного настроения стал конфликт с мужем, что и привело женщину на консультацию.
Симптомы на момент обследования:  На момент консультации АЛ чувствует себя «немного уставшей от постоянных пробуждений посреди ночи, но в остальном все нормально». Из роддома ее выписали в хорошем состоянии, после того, как она без осложнений естественным путем родила своего второго ребенка. Тем не менее, в последующие несколько дней АЛ чувствовала себя подавленно, особенно пока привыкала заботиться о двух детях сразу. Она была раздражительнее обычного, придираясь к мужу по мелочам. Кроме того, она уставала больше, чем после рождения первого ребенка. Пациентка говорит, что чувствовала себя изможденной и с трудом успевала заботиться о новорожденной дочери и пятилетнем сыне. Она просила мужа больше помогать с детьми, жалуясь, что ей не хватает его поддержки. Муж не придал ситуации большого значения и сказал, что она прекрасно со всем справляется. У них было несколько бурных ссор, после которых АЛ чувствовала себя недооцененной и непонятой. Однажды ночью муж услышал, как его жена плачет (она думала, что он спит). На следующий день он попросил тещу приехать пожить с ними, помочь по дому. Через неделю после приезда матери АЛ почувствовала себя лучше, как прежде. Ее настроение улучшилось, а сил прибавилось, несмотря на то, что для нее по-прежнему сложно заботиться о двух детях сразу. Женщина считает, что рождение второго ребенка выявило неразрешенные конфликты ее брака и что она хочет заняться их решением ради детей, пока проблемы не разрослись.
Дополнительные сведения:  По словам пациентки, 5 лет назад, после рождения первого ребенка, у нее не было таких трудностей, как сейчас. В анамнезе АЛ отсутствует упоминание о каких-либо серьезных психиатрических проблемах. О злоупотреблении алкоголем или употреблении наркотических средств сведений нет.

Какое из следующих диагностических заключений более всего подходит для пациента, описанного в данном клиническом случае, в настоящее время?
- Единичный эпизод депрессивного расстройства
- Рекуррентное депрессивное расстройство
- Дистимическое расстройство
- Смешанное депрессивное и тревожное расстройство
- Биполярное расстройство I типа
- Биполярное расстройство II типа 
- Циклотимическое расстройство 
- Другое аффективное расстройство 
- Генерализованное тревожное расстройство 
- Затяжная реакция горя
- Расстройство адаптации
- Другой диагноз, не перечисленный выше
- Нет диагноза; симптомы и поведение находятся в пределах нормы

[FORMAT]
Наиболее вероятный диагноз: [диагноз]
Обоснование: [2–3 предложения]

Второй по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

Третий по вероятности диагноз: [диагноз]
Обоснование: [1–2 предложения]

**ПРЕДУПРЕЖДЕНИЕ:** Любой другой формат вывода является некорректным.","Наиболее вероятный диагноз: Рекуррентное депрессивное расстройство.
Обоснование: После рождения второго ребенка, пациентка испытывала симптомы депрессии, включая потеря интереса, изменение аппетита и сниженное настроение, которые усугубились вследствие конфликта с мужем. Эти симптомы сопровождались усталостью и раздражительностью, что характерно для рекуррентного депрессивного расстройства.

Второй по вероятности диагноз: Дистимическое расстройство.
Обоснование: Пациентка описывает себя как ""немного уставшую"" и ""изможденную"" после рождения второго ребенка, но в целом нормальную. Это может указывать на дистимию, которая характеризуется постоянным снижением настроения и усталостью, но без явных симптомов депрессии.

Третий по вероятности диагноз: Смешанное депрессивное и тревожное расстройство.
Обоснование: В клиническом случае описаны симптомы депрессии, такие как сниженное настроение, изменение аппетита и усталость, а также симптомы тревоги, такие как раздражительность и бурные ссоры с мужем. Это может указывать на смешанное депрессивное и тревожное расстройство, которое характеризуется одновременным наличием симптомов депрессии и тревоги.

**ПРЕДУПРЕЖДЕНИЕ:** Единичный эпизод депрессивного расстройства, би","['NO_MATCH_FOUND', 'NO_MATCH_FOUND', 'NO_MATCH_FOUND']",Нет диагноза; симптомы и поведение находятся в пределах нормы,False,False,False
