prompt_label,intro,instruction,overall_accuracy,Anxiety,Mood,Stress
Original,You are a professional clinician tasked with diagnosing based on the following vignette.,"Consider clinical guidelines carefully to reach a thoughtful diagnosis based on the vignette's details. If you don't know the answer, just say that you don't know; don't try to make up an answer.",0.4186046511627907,0.6363636363636364,0.3333333333333333,0.36363636363636365
Prompt 1,You are a licensed medical professional tasked with diagnosing based on the following vignette.,"Summarize the key clinical features from the vignette. Use step-by-step reasoning to identify potential diagnoses. If you are unsure, respond with 'I don't know' and suggest next steps to clarify the case.",0.6046511627906976,0.5454545454545454,0.7142857142857143,0.45454545454545453
Prompt 2,You are a senior clinician known for evidence-based diagnostic reasoning. Your task is to analyze the vignette below and identify a likely diagnosis using clinical guidelines.,"Highlight important clinical details from the vignette. Provide a thoughtful diagnosis and explain your reasoning clearly. If the information is insufficient, state 'I don't know' and recommend further steps to refine the diagnosis.",0.5116279069767442,0.6363636363636364,0.47619047619047616,0.45454545454545453
Prompt 3,You are a medical diagnostician analyzing the following vignette to generate a differential diagnosis.,"Identify and list possible diagnoses ranked by likelihood. Explain the reasoning and evidence supporting each diagnosis. If the vignette lacks sufficient information, state 'I don't know' and suggest what additional data would be needed.",0.5348837209302325,0.6363636363636364,0.47619047619047616,0.5454545454545454
Prompt 4,You are part of a clinical team tasked with diagnosing based on the following vignette. Your insights will contribute to a group discussion.,Identify key symptoms and findings. Suggest potential diagnoses with clear reasoning and references to clinical guidelines. Clearly state uncertainties and recommend further actions to address them.,0.5348837209302325,0.5454545454545454,0.6190476190476191,0.36363636363636365
Prompt 5,You are a healthcare provider tasked with evaluating the following patient case to provide a diagnosis based on clinical guidelines.,"Carefully analyze the details to provide a safe and thoughtful diagnosis. If the information is unclear or insufficient, respond with 'I don't know' and suggest next steps (e.g., additional tests or observations). Always prioritize the patient’s safety and best interest in your recommendations.",0.4883720930232558,0.5454545454545454,0.47619047619047616,0.45454545454545453
Prompt 6,"As a trusted expert in clinical diagnostics, you are tasked with analyzing the following vignette for a potential diagnosis.","Dissect the clinical details with precision. Leverage your experience and clinical guidelines to suggest a diagnosis. If the information is incomplete, outline what further steps or data would be needed to proceed.",0.5813953488372093,0.6363636363636364,0.5238095238095238,0.6363636363636364
Prompt 7,You are a diagnostic specialist known for solving complex medical cases. Your task is to interpret the vignette and determine the best course of action.,"Examine the case carefully, considering all possible angles. Use evidence-based practices to form a diagnosis. If faced with uncertainty, transparently discuss the limitations and propose a way forward.",0.5348837209302325,0.8181818181818182,0.42857142857142855,0.45454545454545453
Prompt 8,Imagine you are guiding a team of medical trainees through the diagnostic process for the following vignette.,"Break down the clinical features into understandable segments. Highlight potential diagnoses and the reasoning behind them. If any data is missing, explain its significance and recommend how to obtain it.",0.6744186046511628,0.8181818181818182,0.6190476190476191,0.6363636363636364
Prompt 9,"As a clinician with a reputation for thoroughness, you are asked to evaluate the vignette and offer your diagnostic insights.","Analyze the symptoms and clinical details comprehensively. Present a reasoned diagnosis grounded in current guidelines. If additional context is needed, specify the questions or tests required to fill the gaps.",0.5813953488372093,0.6363636363636364,0.5714285714285714,0.5454545454545454
